Go.	Va !
We live together.	Nous vivons ensemble.
We lost the game.	Nous perdîmes la partie.
We lost the game.	Nous avons perdu la partie.
We make mistakes.	Nous commettons des erreurs.
We mean business.	Ce que nous voulons, c'est faire des affaires.
We meant no harm.	Nous n'avions pas de mauvaise intention.
We meant no harm.	Nous ne pensions pas à mal.
We met last week.	Nous nous sommes rencontrés la semaine dernière.
We met last week.	Nous nous sommes rencontrées la semaine dernière.
We met on Sunday.	Nous nous sommes rencontrés dimanche.
We must continue.	Il nous faut continuer.
We must evacuate.	Il nous faut évacuer.
We must fix this.	Nous devons y remédier.
We must fix this.	Nous devons le réparer.
We must fix this.	Nous devons régler ça.
We must sit down.	Nous devons nous asseoir.
We must sit down.	Il nous faut nous asseoir.
We must withdraw.	Il nous faut nous retirer.
We need evidence.	Il nous faut des preuves.
We need exercise.	Nous avons besoin d'exercice.
We need somebody.	Nous avons besoin de quelqu'un.
We need supplies.	Il nous faut des provisions.
We need you back.	Il faut que tu reviennes.
We only want you.	Nous ne voulons que vous.
We only want you.	Nous ne voulons que toi.
We saw something.	Nous avons vu quelque chose.
We spoke briefly.	Nous nous entretînmes brièvement.
We spoke briefly.	Nous nous sommes brièvement entretenus.
We spoke briefly.	Nous nous sommes brièvement entretenues.
We spoke briefly.	Nous avons parlé brièvement.
We study Chinese.	Nous étudions le chinois.
We told everyone.	Nous l'avons dit à tous.
We want to leave.	Nous voulons partir.
We were ambushed.	Nous avons été pris dans une embuscade.
We were ambushed.	Nous avons été prises dans une embuscade.
We were mistaken.	Nous nous trompions.
We were partners.	Nous étions partenaires.
We were soldiers.	Nous étions des soldats.
We were together.	Nous étions ensemble.
We were too late.	Nous arrivâmes trop tard.
We were too late.	Nous sommes arrivés trop tard.
We were too late.	Nous sommes arrivées trop tard.
We weren't happy.	Nous n'étions pas satisfaits.
We weren't happy.	Nous n'étions pas satisfaites.
We weren't lucky.	Nous n'avons pas eu de chance.
We will fix this.	Nous réparerons ceci.
We will fix this.	Nous corrigerons ceci.
We will not fail.	Nous n'échouerons pas.
We wish you luck.	Nous vous souhaitons bonne chance.
We won the match.	On a gagné le match.
We work together.	Nous travaillons ensemble.
We'll be careful.	Nous serons prudents.
We'll be careful.	Nous serons prudentes.
We'll be working.	Nous travaillerons.
We'll follow Tom.	Nous suivrons Tom.
We'll never know.	Nous ne le saurons jamais.
We'll pay for it.	Nous payerons pour ça.
We'll talk later.	Nous discuterons plus tard.
We're a bit late.	Nous sommes un peu en retard.
We're a bit late.	Nous sommes un tantinet en retard.
We're all afraid.	Nous avons tous peur.
We're all afraid.	Nous avons toutes peur.
We're all hungry.	Nous avons tous faim.
We're all hungry.	Nous avons toutes faim.
We're all scared.	Nous avons tous peur.
We're all scared.	Nous avons toutes peur.
We're all single.	Nous sommes tous célibataires.
We're all single.	Nous sommes toutes célibataires.
We're all unique.	Nous sommes tous uniques.
We're alone here.	Nous sommes seuls ici.
We're alone here.	Nous sommes seules ici.
We're astonished.	Nous sommes stupéfaits.
We're back early.	Nous sommes de retour tôt.
We're being used.	On nous exploite.
We're both right.	Nous avons tous deux raison.
We're both right.	Nous avons toutes deux raison.
We're both wrong.	Nous avons tous deux tort.
We're both wrong.	Nous avons toutes deux tort.
We're classmates.	Nous sommes des copains de classe.
We're doing well.	Nous nous en sortons pas mal.
We're downsizing.	Nous réduisons la voilure.
We're getting it.	Nous pigeons.
We're going back.	Nous retournons en arrière.
We're going down.	Nous descendons.
We're going east.	Nous nous dirigeons vers l'est.
We're going east.	Nous nous dirigeons à l'est.
We're going west.	Nous nous dirigeons vers l'ouest.
We're going west.	Nous nous dirigeons à l'ouest.
We're half right.	Nous avons à moitié raison.
We're having fun.	Nous nous amusons.
We're here alone.	Nous sommes ici seuls.
We're here alone.	Nous sommes ici seules.
We're here early.	Nous sommes là tôt.
We're home early.	Nous sommes tôt à la maison.
We're in college.	Nous sommes à la fac.
We're in control.	Nous contrôlons la situation.
We're in trouble.	Nous sommes dans le pétrin.
We're in trouble.	On est dans le pétrin.
We're just lucky.	Nous sommes juste chanceux.
We're just tired.	Nous sommes juste fatigués.
We're just tired.	Nous sommes juste fatiguées.
We're lifeguards.	Nous sommes sauveteurs.
We're meditating.	Nous sommes en train de méditer.
We're not buying.	Nous ne sommes pas en train d'acheter.
We're not dating.	Nous ne sortons pas ensemble.
We're not dating.	Nous ne fricotons pas.
We're not eating.	Nous ne sommes pas en train de manger.
We're not family.	Nous ne sommes pas de la même famille.
We're not guilty.	Nous ne sommes pas coupables.
We're not moving.	Nous ne sommes pas en train de bouger.
We're not needed.	On n'a pas besoin de nous.
We're not stupid.	Nous ne sommes pas idiots.
We're not stupid.	Nous ne sommes pas idiotes.
We're on our own.	Nous sommes seuls.
We're on our own.	Nous sommes seules.
We're on our way.	Nous sommes en route.
We're prejudiced.	Nous avons des préjugés.
We're right here.	Nous sommes juste là.
We're speechless.	Nous sommes sans voix.
We're still here.	Nous sommes encore ici.
We're successful.	Nous connaissons la réussite.
We're surrounded.	Nous sommes cernés.
We're taking off.	Nous sommes en train de décoller.
We're the owners.	Nous sommes les propriétaires.
We're undressing.	Nous nous déshabillons.
We're undressing.	Nous sommes en train de nous déshabiller.
We're unemployed.	Nous sommes sans emploi.
We're unemployed.	Nous sommes dépourvus d'emplois.
We're untalented.	Nous sommes dépourvus de talent.
We're untalented.	Nous sommes dépourvues de talent.
We're very close.	Nos scores sont très serrés.
We're very close.	Nous sommes très proches.
We're very happy.	Nous sommes très heureux.
We've done a lot.	Nous avons fait beaucoup.
We've got a boat.	Nous disposons d'un bateau.
We've got enough.	Nous en avons assez.
We've got enough.	Nous en avons suffisamment.
Well, here we go.	Bien, allons-y.
Were you excited?	Étais-tu excité ?
Were you excited?	Étais-tu excitée ?
Were you excited?	Étiez-vous excité ?
Were you excited?	Étiez-vous excitée ?
Were you excited?	Étiez-vous excités ?
Were you excited?	Étiez-vous excitées ?
Were you shot at?	T'a-t-on tiré dessus ?
Were you shot at?	Vous a-t-on tiré dessus ?
Were you sincere?	Étais-tu sincère ?
Were you sincere?	Étiez-vous sincère ?
Were you sincere?	Étiez-vous sincères ?
What a big eater!	Quel gros mangeur !
What a big truck!	Quel gros camion !
What a cute baby!	Quel mignon bébé !
What a cute girl!	Quelle jolie fille!
What a funny man!	Quel homme curieux !
What a funny man!	Quel homme bizarre !
What a funny man!	Quel homme amusant !
What a good shot!	Quel bon tireur !
What a heavy bag!	Que ce sac est lourd !
What a hypocrite!	Quelle hypocrite !
What a hypocrite!	Quel hypocrite !
What a nightmare!	Quelle horreur !
What a smart guy!	Quel type intelligent !
What can be done?	Qu'est-ce qui peut être fait ?
What can you see?	Que peux-tu voir ?
What can you see?	Que pouvez-vous voir ?
What could it be?	Qu'est-ce que ça pourrait être ?
What did she say?	Qu'est-ce qu'elle a dit ?
What did we miss?	Qu'avons-nous manqué ?
What did you buy?	Qu'as-tu acheté ?
What did you buy?	Qu'avez-vous acheté ?
What did you eat?	Tu as mangé quoi ?
What did you eat?	Qu'as-tu mangé ?
What did you eat?	Qu'avez-vous mangé ?
What did you get?	Qu'as-tu eu ?
What did you say?	Qu'avez-vous dit ?
What did you say?	Qu'as-tu dit ?
What did you say?	Plaît-il ?
What did you say?	Qu'as-tu dit ?
What did you see?	Qu'avez-vous vu ?
What did you see?	Qu'as-tu vu ?
What do bees eat?	De quoi se nourrissent les abeilles ?
What do you have?	Qu'est-ce que vous avez ?
What do you know?	Que sais-tu ?
What do you know?	Que savez-vous ?
What do you like?	Qu'est-ce que tu aimes bien ?
What do you like?	Qu'aimes-tu ?
What do you like?	Qu'apprécies-tu ?
What do you mean?	Que veux-tu dire ?
What do you mean?	Que voulez-vous dire ?
What do you need?	De quoi avez-vous besoin ?
What do you need?	De quoi avez-vous besoin ?
What do you need?	De quoi as-tu besoin ?
What do you need?	De quoi avez-vous besoin?
What do you seek?	Que cherches-tu ?
What do you seek?	Que cherchez-vous ?
What do you want?	Que veux-tu ?
What do you want?	De quoi as-tu besoin ?
What do you want?	Qu'est-ce que tu veux ?
What do you want?	Que veux-tu ?
What do you want?	Que voulez-vous ?
What do you want?	Qu'est-ce que tu veux ?
What does he say?	Que dit-il ?
What does he see?	Que voit-il ?
What does she do?	Que fait-elle ?
What else is new?	Quoi d'autre est nouveau ?
What happens now?	Que se passe-t-il, maintenant ?
What has he done?	Qu'a-t-il fait ?
What have I done?	Qu'ai-je fait !
What have we got?	Qu'avons-nous ?
What have we got?	Qu'avons-nous obtenu ?
What have we got?	De quoi disposons-nous ?
What if I refuse?	Et si je refuse ?
What if he fails?	Que se passe-t-il s'il échoue ?
What is all this?	Qu'est tout ceci ?
What is going on?	Qu'est-ce qui se passe ?
What is going on?	Qu'y a-t-il ?
What is he after?	Qu’est-ce qu’il espère?
What is he doing?	Qu'est-ce qu'il fait ?
What is he up to?	Que manigance-t-il ?
What is he up to?	Qu'a-t-il en tête ?
What is his name?	Comment s'appelle-t-il ?
What is it about?	De quoi s'agit-il ?
What is the news?	Quelles sont les nouvelles?
What is the time?	Quelle heure est-il ?
What is this for?	Quel est le but de ceci ?
What is your age?	Quel âge as-tu ?
What shall we do?	Que faire ?
What shall we do?	Qu'allons-nous faire ?
What shall we do?	Que ferons-nous ?
What should I do?	Que devrais-je faire ?
What was I to do?	Qu'étais-je sur le point de faire ?
What will we eat?	Qu'allons-nous manger ?
What will we eat?	Que mangerons-nous ?
What will you do?	Que feras-tu ?
What will you do?	Que ferez-vous ?
What woke you up?	Qu'est-ce qui t'a réveillé ?
What woke you up?	Qu'est-ce qui t'a réveillée ?
What woke you up?	Qu'est-ce qui vous a réveillé  ?
What woke you up?	Qu'est-ce qui vous a réveillés ?
What woke you up?	Qu'est-ce qui vous a réveillées ?
What woke you up?	Qu'est-ce qui vous a réveillée  ?
What's for lunch?	Qu'y a-t-il pour déjeuner ?
What's happening?	Qu'est-ce qui se passe ?
What's he hiding?	Que cache-t-il ?
What's he hiding?	Qu'est-ce qu'il cache ?
What's it called?	Comment cela se nomme-t-il ?
What's she doing?	Que fait-elle ?
What's that bird?	Quel est cet oiseau ?
What's the catch?	C'est quoi le truc ?
What's the catch?	Où est l'arnaque ?
What's the hurry?	Pourquoi cette précipitation ?
What's the score?	Quelle est la marque ?
What's the score?	Quel est le résultat ?
What's this mess?	Qu'est-ce que c'est que ce fouillis?
What's your beef?	C'est quoi ton problème ?
What's your name?	Comment est-ce que tu t'appelles ?
What's your name?	Comment tu t'appelles ?
What's your name?	Comment vous appelez-vous ?
What's your name?	Quel est votre nom ?
What's your name?	Quel est ton nom ?
What's your name?	Comment te nomme-t-on ?
What's your name?	Comment tu t’appelles ?
What's your plan?	Quel est ton plan ?
What's your plan?	Quel est votre plan ?
What's your wish?	Quel est votre souhait ?
What's your wish?	Quel est ton souhait ?
What've you done?	Qu'avez-vous fait ?
Whatever you say.	Comme tu veux.
Whatever you say.	Comme vous voulez.
Whatever you say.	Comme vous voudrez.
Whatever you say.	Comme tu voudras.
When are you off?	Quand pars-tu ?
When do we leave?	Quand partons-nous ?
When do we start?	Quand commençons-nous ?
When does it end?	Quand est-ce que ça finit ?
When does it end?	Quand cela finit-il ?
When will you go?	Quand iras-tu ?
When will you go?	Quand irez-vous ?
Where are we now?	Où en sommes-nous maintenant ?
Where are we now?	Où sommes-nous maintenant ?
Where can I park?	Où puis-je me garer ?
Where did you go?	Où vous êtes-vous rendu ?
Where did you go?	Où vous êtes-vous rendue ?
Where did you go?	Où vous êtes-vous rendus ?
Where did you go?	Où vous êtes-vous rendues ?
Where did you go?	Où es-tu allé ?
Where did you go?	Où es-tu allée ?
Where do I sleep?	Où est-ce que je dors ?
Where do I sleep?	Je dors où ?
Where is my book?	Où se trouve mon livre ?
Where is my seat?	Où est mon siège ?
Where is the boy?	Où est le garçon ?
Where is the boy?	Où est le garçon?
Where is the cat?	Où se trouve le chat ?
Where is the cat?	Où se trouve la chatte ?
Where is the cat?	Où est le chat ?
Where is the dog?	Où est le chien ?
Where's a mirror?	Où trouver un miroir ?
Where's everyone?	Où est tout le monde ?
Where's my money?	Où est mon argent ?
Where's my phone?	Où est mon téléphone ?
Where's the boss?	Où est le patron ?
Where's the exit?	Où se trouve la sortie ?
Where's the park?	Où se trouve le parc ?
Where's the rest?	Où est le reste ?
Where's your dog?	Où est ton chien ?
Where's your dog?	Où est votre chien ?
Where's your dog?	Où est ton chien ?
Which is cheaper?	Lequel est le moins cher ?
Which is cheaper?	Laquelle est la moins chère ?
Which is our car?	Laquelle est notre auto ?
Which way is out?	Quel est le chemin vers la sortie ?
Who did you meet?	Qui avez-vous rencontré ?
Who did you meet?	Qui as-tu rencontré ?
Who do you trust?	En qui as-tu confiance ?
Who do you trust?	En qui avez-vous confiance ?
Who do you trust?	Qui croyez-vous ?
Who do you trust?	Qui crois-tu ?
Who else is here?	Qui d'autre est ici ?
Who is that lady?	Qui est cette femme ?
Who is this girl?	Qui est cette fille  ?
Who is this lady?	Qui est cette femme ?
Who notified you?	Qui vous a informé ?
Who notified you?	Qui t'as informé ?
Who ordered that?	Qui a commandé ça ?
Who ordered that?	Qui a ordonné cela ?
Who painted that?	Qui a peint cela ?
Who painted this?	Qui a peint ceci ?
Who will help me?	Qui m'aide ?
Who's had enough?	Qui en a eu assez ?
Who's in control?	Qui est aux commandes ?
Who's not coming?	Qui ne vient pas ?
Whose turn is it?	À qui le tour ?
Whose turn is it?	À qui est le tour ?
Why are you late?	Pourquoi es-tu en retard ?
Why are you late?	Pourquoi êtes-vous en retard ?
Why can't I hear?	Pourquoi ne puis-je entendre ?
Why can't I move?	Pourquoi ne puis-je pas bouger ?
Why did you call?	Pourquoi as-tu appelé ?
Why did you call?	Pourquoi avez-vous appelé ?
Why did you quit?	Pourquoi as-tu démissionné ?
Why did you stop?	Pourquoi avez-vous arrêté ?
Why did you stop?	Pourquoi vous êtes-vous arrêté ?
Why did you stop?	Pourquoi as-tu arrêté ?
Why did you stop?	Pourquoi t'es-tu arrêté ?
Why do you study?	Pourquoi tu étudies ?
Why do you study?	Pourquoi étudies-tu ?
Why would he lie?	Pourquoi mentirait-il ?
Will that be all?	Ce sera tout ?
Will that change?	Est-ce que cela va changer ?
Will you go, too?	Irez-vous aussi ?
Will you go, too?	Iras-tu aussi ?
Will you help me?	Peux-tu me donner un coup de main ?
Will you join us?	Te joindras-tu à nous ?
Will you join us?	Vous joindrez-vous à nous ?
Will you join us?	Te joins-tu à nous ?
Will you shut up?	Veux-tu te taire ?
Will you shut up?	Voulez-vous vous taire ?
Will you tell me?	Me le diras-tu ?
Will you tell me?	Me le direz-vous ?
Words failed her.	Les mots lui manquèrent.
Words failed her.	Elle n'a pas trouvé les mots.
Words failed him.	Il n'a pas trouvé les mots.
Words failed him.	Les mots lui manquèrent.
Would it help me?	Est-ce que ça m'aiderait ?
Would it help me?	Cela m'aiderait-il ?
Yolks are yellow.	Les jaunes d'œufs sont jaunes.
Yolks are yellow.	Les jaunes sont jaunes.
You abandoned me.	Vous m'avez abandonné.
You all did well.	Vous avez tous bien réussi.
You all did well.	Vous avez toutes bien réussi.
You are a doctor.	Vous êtes médecin.
You are a doctor.	Tu es toubib.
You are a genius.	Tu es un génie.
You are a genius.	Vous êtes un génie.
You are blushing.	Tu rougis !
You are children.	Vous êtes des enfants.
You are deranged.	Tu es dérangé.
You are dreaming.	Tu es en train de rêver.
You are dreaming.	Vous êtes en train de rêver.
You are fabulous.	Tu es fabuleux.
You are fabulous.	Tu es fabuleuse.
You are gorgeous.	Tu es splendide.
You are gorgeous.	Vous êtes splendide.
You are hopeless.	Tu es impossible.
You are hopeless.	Tu es incorrigible.
You are not kind.	Vous n'êtes pas gentil.
You are to blame.	Vous êtes responsable.
You are to blame.	Vous êtes responsables.
You are too late.	Tu arrives trop tard.
You are too late.	Vous arrivez trop tard.
You aren't wrong.	T'as pas tort.
You better hurry.	Tu ferais mieux de te grouiller !
You better hurry.	Vous feriez mieux de vous activer !
You better hurry.	Vous feriez mieux de vous dépêcher !
You better hurry.	Tu ferais mieux de te magner !
You blew it, Tom.	Tu as foiré, Tom.
You came at five.	Tu es venu à 5 heures.
You came in late.	Vous êtes arrivé en retard.
You can all help.	Vous pouvez tous aider.
You can all help.	Vous pouvez toutes aider.
You can go there.	Tu peux y aller.
You can go there.	Vous pouvez y aller.
You can go there.	Vous pouvez vous y rendre.
You can go there.	Tu peux t'y rendre.
You can go there.	Tu es en mesure d'y aller.
You can go there.	Tu es en mesure de t'y rendre.
You can go there.	Vous êtes en mesure de vous y rendre.
You can go there.	Vous êtes en mesure d'y aller.
You can look now.	Tu peux regarder, maintenant.
You can trust me.	Vous pouvez avoir confiance en moi.
You can use mine.	Tu peux utiliser le mien.
You can't go now.	Tu ne peux pas y aller maintenant.
You can't go out.	Tu ne peux pas sortir.
You can't go out.	Vous ne pouvez pas sortir.
You can't go yet.	Tu ne peux pas encore y aller.
You can't go yet.	Tu ne peux pas encore t'en aller.
You can't go yet.	Vous ne pouvez pas encore vous en aller.
You can't go yet.	Vous ne pouvez pas encore y aller.
You can't go yet.	Vous ne pouvez pas encore partir.
You can't go yet.	Tu ne peux pas encore partir.
You can't say no.	Tu ne peux pas dire "Non."
You can't say no.	Tu ne peux pas dire non.
You did say that.	Vous aviez effectivement dit cela.
You have a point.	Vous avez probablement raison.
You have my word.	Je te le promets.
You have my word.	Je vous le promets.
You have my word.	Vous avez ma parole.
You have my word.	Tu as ma parole.
You have no idea.	Tu n'en as aucune idée.
You have no idea.	Vous n'en avez aucune idée.
You have no idea.	Tu n'as pas idée.
You have no life.	Vous n'avez pas de vie.
You have no life.	Tu n'as pas de vie.
You have to come.	Tu dois venir.
You have to come.	Vous devez venir.
You know I can't.	Tu sais que je ne peux pas.
You know me well.	Tu me connais bien.
You know me well.	Vous me connaissez bien.
You know the law.	Tu connais la loi.
You know the law.	Vous connaissez la loi.
You look amazing.	Tu as l'air resplendissante.
You look nervous.	Tu as l'air nerveux.
You look nervous.	Vous avez l'air nerveux.
You look nervous.	Vous avez l'air nerveuses.
You look nervous.	Vous avez l'air nerveuse.
You look nervous.	Tu as l'air nerveuse.
You look perfect.	Tu as l'air parfait.
You look perfect.	Tu as l'air parfaite.
You look perfect.	Vous avez l'air parfait.
You look perfect.	Vous avez l'air parfaite.
You look perfect.	Vous avez l'air parfaits.
You look perfect.	Vous avez l'air parfaites.
You look so cool.	Vous avez l'air tellement décontracté !
You look so cool.	Tu as l'air tellement décontracté !
You look so pale.	Tu as l'air si pâle !
You look younger.	Tu as l'air plus jeune.
You look younger.	Vous avez l'air plus jeune.
You made Tom cry.	Tu as fait pleurer Tom.
You made me late.	Tu m'as mis en retard.
You make me sick.	Tu me rends malade.
You make me sick.	Vous me rendez malade.
You may be right.	Tu as peut-être raison.
You may be right.	Il se peut que tu aies raison.
You may be right.	Il se peut que vous ayez raison.
You may go there.	Tu peux y aller.
You may go there.	Vous pouvez y aller.
You may go there.	Vous avez la permission d'y aller.
You may go there.	Tu as la permission d'y aller.
You may go there.	Tu as la permission de t'y rendre.
You may go there.	Vous avez la permission de vous y rendre.
You may meet him.	Tu peux le rencontrer.
You may meet him.	Tu as l'autorisation de le rencontrer.
You may quote me.	Vous pouvez me citer.
You missed a lot.	Tu as sacrement manqué.
You missed a lot.	T'en as loupé.
You must tell me.	Il te faut me le dire.
You must tell me.	Il vous faut me le dire.
You must tell me.	Tu dois me le dire.
You must tell me.	Vous devez me le dire.
You must tell us.	Vous devez nous le dire.
You need a drink.	Il te faut un verre.
You need a drink.	Il vous faut un verre.
You need a drink.	Il te faut boire quelque chose.
You need a drink.	Il vous faut boire quelque chose.
You need to come.	Tu dois venir.
You need to come.	Vous devez venir.
You need to rest.	Il vous faut vous reposer.
You need to rest.	Il te faut te reposer.
You need to stop.	Il faut que tu arrêtes.
You need to stop.	Il faut que vous arrêtiez.
You need to stop.	Tu dois arrêter.
You need to stop.	Tu dois cesser.
You need to stop.	Il faut que tu cesses.
You saved us all.	Tu nous as tous sauvés.
You saved us all.	Tu nous as toutes sauvées.
You saved us all.	Vous nous avez tous sauvés.
You saved us all.	Vous nous avez toutes sauvées.
You should do it.	Tu devrais le faire.
You should do it.	Vous devriez le faire.
You were perfect.	Tu as été parfait.
You were perfect.	Vous avez été parfait.
You were perfect.	Tu as été parfaite.
You were perfect.	Vous avez été parfaits.
You were perfect.	Vous avez été parfaite.
You were perfect.	Vous avez été parfaites.
You were perfect.	Tu fus parfait.
You were perfect.	Tu fus parfaite.
You were perfect.	Vous fûtes parfait.
You were perfect.	Vous fûtes parfaite.
You were perfect.	Vous fûtes parfaites.
You were perfect.	Vous fûtes parfaits.
You will survive.	Vous survivrez.
You will survive.	Tu survivras.
You're a man now.	Tu es désormais un homme.
You're a man now.	Vous êtes désormais un homme.
You're a traitor.	Tu es un traître.
You're a traitor.	Vous êtes un traître.
You're a traitor.	Tu es une traîtresse.
You're a traitor.	Vous êtes une traîtresse.
You're all alone.	Vous êtes tous seuls.
You're all alone.	Vous êtes toutes seules.
You're all alone.	Tu es tout seul.
You're all alone.	Tu es toute seule.
You're all alone.	Vous êtes tout seul.
You're all alone.	Vous êtes toute seule.
You're all crazy.	Vous êtes tous fous.
You're all crazy.	Vous êtes toutes folles.
You're all happy.	Vous êtes tous contents.
You're all happy.	Vous êtes toutes contentes.
You're all happy.	Vous êtes tous heureux.
You're all happy.	Vous êtes toutes heureuses.
You're all happy.	Vous êtes tous satisfaits.
You're all happy.	Vous êtes toutes satisfaites.
You're all right.	Tu vas bien.
You're all right.	Vous allez bien.
You're ambitious.	Tu es ambitieuse.
You're ambitious.	Tu es ambitieux.
You're ambitious.	Vous êtes ambitieux.
You're ambitious.	Vous êtes ambitieuses.
You're ambitious.	Vous êtes ambitieuse.
You're assertive.	Tu te fais comprendre.
You're assertive.	Tu sais te faire comprendre.
You're assertive.	Vous savez vous faire comprendre.
You're beautiful.	Tu es beau.
You're beautiful.	Vous êtes belle.
You're beautiful.	Vous êtes beaux.
You're beautiful.	Vous êtes belles.
You're conceited.	Tu es suffisant.
You're conceited.	Tu es suffisante.
You're conceited.	Vous êtes suffisant.
You're conceited.	Vous êtes suffisante.
You're conceited.	Vous êtes suffisants.
You're conceited.	Vous êtes suffisantes.
You're courteous.	Tu es courtois.
You're courteous.	Tu es courtoise.
You're courteous.	Vous êtes courtois.
You're courteous.	Vous êtes courtoise.
You're courteous.	Vous êtes courtoises.
You're exhausted.	Tu es épuisée.
You're exhausted.	Vous êtes épuisés.
You're exhausted.	Vous êtes épuisées.
You're forgetful.	Tu es distrait.
You're forgetful.	Tu es distraite.
You're forgetful.	Tu es oublieux.
You're forgetful.	Tu es oublieuse.
You're forgetful.	Tu es étourdi.
You're forgetful.	Tu es étourdie.
You're fortunate.	Tu as de la chance.
You're fortunate.	Tu es chanceux.
You're fortunate.	Tu es chanceuse.
You're fortunate.	Vous êtes chanceux.
You're fortunate.	Vous êtes chanceuse.
You're fortunate.	Vous êtes chanceuses.
You're impatient.	Tu es impatient.
You're impatient.	Tu es impatiente.
You're in danger.	Tu es en danger.
You're in danger.	Vous êtes en danger.
You're my friend.	Tu es mon amie.
You're no doctor.	Vous n'êtes pas médecin.
You're no doctor.	Tu n'es pas médecin.
You're no singer.	Vous n'êtes pas chanteur.
You're no singer.	Vous n'êtes pas chanteuse.
You're no singer.	Tu n'es pas chanteur.
You're no singer.	Tu n'es pas chanteuse.
You're not alone.	Tu n'es pas seul.
You're not alone.	Tu n'es pas seule.
You're not alone.	Vous n'êtes pas seul.
You're not alone.	Vous n'êtes pas seuls.
You're not alone.	Vous n'êtes pas seules.
You're not alone.	Vous n'êtes pas seule.
You're not dying.	Vous n'êtes pas mourant.
You're not fired.	Tu n'es pas viré.
You're not fired.	Tu n'es pas virée.
You're not fired.	Vous n'êtes pas viré.
You're not fired.	Vous n'êtes pas virés.
You're not fired.	Vous n'êtes pas virée.
You're not fired.	Vous n'êtes pas virées.
You're obnoxious.	Tu es odieux.
You're obnoxious.	Tu es odieuse.
You're obnoxious.	Vous êtes odieux.
You're obnoxious.	Vous êtes odieuse.
You're obnoxious.	Vous êtes odieuses.
You're observant.	Tu as le sens de l'observation.
You're powerless.	Tu es dépourvu de pouvoir.
You're powerless.	Tu es dépourvue de pouvoir.
You're resilient.	Tu es tenace.
You're resilient.	Vous êtes tenace.
You're resilient.	Vous êtes tenaces.
You're resilient.	Vous êtes endurants.
You're resilient.	Vous êtes endurantes.
You're resilient.	Vous êtes endurant.
You're resilient.	Vous êtes endurante.
You're resilient.	Tu es endurant.
You're resilient.	Tu es endurante.
You're shivering.	Tu frissonnes.
You're so pretty.	Tu es tellement mignonne.
You're talkative.	Tu es bavard.
You're talkative.	Tu es bavarde.
You're talkative.	Vous êtes bavard.
You're talkative.	Vous êtes bavarde.
You're talkative.	Vous êtes bavards.
You're talkative.	Vous êtes bavardes.
You're too naive.	Tu es trop naïve.
You're too tense.	Tu es trop tendu.
You're too tense.	Tu es trop tendue.
You're too tense.	Vous êtes trop tendu.
You're too tense.	Vous êtes trop tendue.
You're too tense.	Vous êtes trop tendus.
You're too tense.	Vous êtes trop tendues.
You're unethical.	Tu es immoral.
You're unethical.	Tu es immorale.
You're very busy.	Tu es fort occupé.
You're very busy.	Tu es fort occupée.
You're very busy.	Tu es très occupé.
You're very busy.	Tu es très occupée.
You're very busy.	Vous êtes très occupé.
You're very busy.	Vous êtes très occupée.
You're very busy.	Vous êtes très occupés.
You're very busy.	Vous êtes très occupées.
You're very busy.	Vous êtes fort occupé.
You're very busy.	Vous êtes fort occupée.
You're very busy.	Vous êtes fort occupés.
You're very busy.	Vous êtes fort occupées.
You're very good.	Vous êtes très bonne.
You're very good.	Vous êtes très bonnes.
You're very good.	Vous êtes fort bonne.
You're very good.	Vous êtes fort bonnes.
You're very good.	Vous êtes fort bon.
You're very good.	Vous êtes fort bons.
You're very good.	Vous êtes très bon.
You're very good.	Vous êtes très bons.
You're very good.	Tu es très bon.
You're very good.	Tu es fort bon.
You're very good.	Tu es très bonne.
You're very good.	Tu es fort bonne.
You're very late.	Vous êtes en retard.
You're very nice.	Vous êtes très gentille.
You're very nice.	Tu es très chouette.
You're very nice.	Tu es très gentil.
You're very nice.	Tu es très gentille.
You're very nice.	Vous êtes très gentil.
You're very nice.	Vous êtes très gentils.
You're very nice.	Vous êtes très gentilles.
You're very nice.	Vous êtes très chouette.
You're very nice.	Vous êtes très chouettes.
You're very open.	Tu es très ouvert.
You're very open.	Tu es très ouverte.
You're very open.	Vous êtes très ouvert.
You're very open.	Vous êtes très ouverts.
You're very open.	Vous êtes très ouverte.
You're very open.	Vous êtes très ouvertes.
You're very rude.	Tu es très grossier.
You're very rude.	Tu es fort grossier.
You're very rude.	Tu es fort grossière.
You're very rude.	Tu es très grossière.
You're very rude.	Vous êtes fort grossière.
You're very rude.	Vous êtes très grossière.
You're very rude.	Vous êtes fort grossières.
You're very rude.	Vous êtes très grossières.
You're very rude.	Vous êtes très grossier.
You're very rude.	Vous êtes fort grossier.
You're very rude.	Vous êtes très grossiers.
You're very rude.	Vous êtes fort grossiers.
You're very tall.	Tu es très grand.
You're very tall.	Tu es très grande.
You're very tall.	Vous êtes très grand.
You're very tall.	Vous êtes très grande.
You're very tall.	Vous êtes très grands.
You're very tall.	Vous êtes très grandes.
You're very wise.	Tu es très sage.
You're very wise.	Tu es très avisé.
You're very wise.	Tu es fort avisé.
You're very wise.	Tu es très avisée.
You're very wise.	Tu es fort avisée.
You're very wise.	Tu es fort sage.
You're very wise.	Vous êtes très sage.
You're very wise.	Vous êtes fort sage.
You're very wise.	Vous êtes très sages.
You're very wise.	Vous êtes fort sages.
You're very wise.	Vous êtes très avisé.
You're very wise.	Vous êtes très avisée.
